2021-01-04 15:27:02,292 DEBUG    [488319] (deoplete.core) initialized context: {'changedtick': 3, 'event': 'BufReadPost', 'filetype': 'vim', 'filetypes': ['vim'], 'input': '', 'max_abbr_width': 120, 'max_kind_width': 120, 'max_menu_width': 120, 'next_input': '"---------------------------------------------------------------------------', 'position': [0, 1, 1, 0], 'same_filetypes': [], 'time': [22231, -202205721], 'bufnr': 1, 'bufname': 'deoplete.rc.vim', 'bufpath': '/home/goy0/.config/nvim/gogo/finger/deoplete.rc.vim', 'camelcase': True, 'complete_str': '', 'custom': {'filter': {}, 'source': {'zsh': {'filetypes': ['zsh', 'sh']}, 'nextword': {'filetypes': ['markdown', 'help', 'gitcommit', 'text']}, 'clang': {'debug_enabled': 1}, 'denite': {'matchers': ['matcher_full_fuzzy', 'matcher_length']}, 'LanguageClient': {'min_pattern_length': 2}, 'tabnine': {'converters': ['converter_remove_overlap', 'converter_truncate_info'], 'rank': 600, 'vars': {'markers': ['.git/'], 'line_limit': 300, 'max_num_results': 5}, 'min_pattern_length': 2}, 'eskk': {'converters': [], 'matchers': []}, '_': {'converters': ['converter_remove_overlap', 'converter_case', 'matcher_length', 'converter_truncate_abbr', 'converter_truncate_info', 'converter_truncate_menu'], 'sorters': [], 'disabled_syntaxes': ['String'], 'matchers': ['matcher_fuzzy', 'matcher_length']}}, 'option': {'auto_complete_popup': 'auto', 'check_stderr': True, 'camel_case': True, 'on_text_changed_i': True, 'nofile_complete_filetypes': ['denite-filter', 'zsh'], 'max_list': 500, 'candidate_marks': ['A', 'S', 'D', 'F', 'G'], 'skip_multibyte': True, 'auto_refresh_delay': 20, 'auto_complete_delay': 0, 'trigger_key': '', 'yarp': False, 'profile': True, 'auto_preview': True, 'omni_patterns': {}, 'auto_complete': True, 'smart_case': 1, 'ignore_case': 1, 'prev_completion_mode': '', 'sources': {}, 'refresh_always': False, 'complete_suffix': True, 'num_processes': 4, 'refresh_backspace': False, 'keyword_patterns': {'tex': '[^\\w|\\s][a-zA-Z_]\\w*', '_': '[a-zA-Z_]\\k*\\(?'}, 'on_insert_enter': True, 'skip_chars': ['(', ')'], 'min_pattern_length': 2, 'ignore_sources': {'help': ['tabnine'], 'c': ['tabnine'], '_': ['buffer']}}}, 'cwd': '/home/goy0/.config/nvim/gogo/finger', 'encoding': 'utf-8', 'ignorecase': 1, 'is_windows': 0, 'smartcase': 1, 'keyword_pattern': '[a-zA-Z_][\\w@0-9_À-ÿ#]*\\(?', 'sources': [], 'rpc': 'deoplete_on_event'}
2021-01-04 15:27:02,292 DEBUG    [488319] (deoplete.core) on_event: BufReadPost
2021-01-04 15:27:02,539 INFO     [488324] (deoplete.logging) --- Deoplete Log Start ---
2021-01-04 15:27:02,541 INFO     [488324] (deoplete.logging) NVIM v0.4.3, Python 3.8.5, pynvim 0.4.2
2021-01-04 15:27:02,542 INFO     [488328] (deoplete.logging) --- Deoplete Log Start ---
2021-01-04 15:27:02,542 DEBUG    [488324] (deoplete.child) Loaded Source: buffer (/home/goy0/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/buffer.py)
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Loaded Source: member (/home/goy0/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/member.py)
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Set Source attributes: buffer
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: converters (['converter_remove_overlap', 'converter_case', 'matcher_length', 'converter_truncate_abbr', 'converter_truncate_info', 'converter_truncate_menu'])
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: disabled_syntaxes (['String'])
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: dup (False)
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: filetypes ([])
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: input_pattern ()
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: is_debug_enabled (False)
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: is_silent (False)
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: is_volatile (False)
2021-01-04 15:27:02,543 DEBUG    [488324] (deoplete.child) Attribute: mark ([B])
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: matchers (['matcher_fuzzy', 'matcher_length'])
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: max_abbr_width (80)
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: max_candidates (500)
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: max_info_width (200)
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: max_kind_width (40)
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: max_menu_width (40)
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: max_pattern_length (80)
2021-01-04 15:27:02,544 INFO     [488328] (deoplete.logging) NVIM v0.4.3, Python 3.8.5, pynvim 0.4.2
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: min_pattern_length (-1)
2021-01-04 15:27:02,544 DEBUG    [488324] (deoplete.child) Attribute: sorters ([])
2021-01-04 15:27:02,545 DEBUG    [488324] (deoplete.child) Set Source attributes: member
2021-01-04 15:27:02,546 DEBUG    [488324] (deoplete.child) Attribute: converters (['converter_remove_overlap', 'converter_case', 'matcher_length', 'converter_truncate_abbr', 'converter_truncate_info', 'converter_truncate_menu'])
2021-01-04 15:27:02,546 DEBUG    [488324] (deoplete.child) Attribute: disabled_syntaxes (['String'])
2021-01-04 15:27:02,546 DEBUG    [488324] (deoplete.child) Attribute: dup (False)
2021-01-04 15:27:02,546 DEBUG    [488324] (deoplete.child) Attribute: filetypes ([])
2021-01-04 15:27:02,546 DEBUG    [488324] (deoplete.child) Attribute: input_pattern ()
